Country,Week,Alpha,Beta,Delta,Omicron,Other_variants,Total
PAK,202009,0,0,0,0,4,4
PAK,202010,0,0,0,0,1,1
PAK,202011,0,0,0,0,1,1
PAK,202015,0,0,0,0,1,1
PAK,202023,0,0,0,0,13,13
PAK,202024,0,0,0,0,2,2
PAK,202028,0,0,0,0,6,6
PAK,202037,0,0,0,0,3,3
PAK,202041,0,0,0,0,8,8
PAK,202042,0,0,0,0,1,1
PAK,202046,0,0,0,0,2,2
PAK,202048,0,0,0,0,19,19
PAK,202050,0,0,0,0,2,2
PAK,202051,0,0,0,0,9,9
PAK,202052,1,0,0,0,1,2
PAK,202053,7,0,0,0,5,12
PAK,202101,0,0,0,0,10,10
PAK,202102,0,0,0,0,2,2
PAK,202103,0,0,0,0,1,1
PAK,202104,0,0,2,0,0,2
PAK,202105,0,0,0,0,1,1
PAK,202106,1,0,0,0,7,8
PAK,202107,0,0,0,0,22,22
PAK,202108,0,0,0,0,4,4
PAK,202110,9,0,0,0,0,9
PAK,202111,15,0,0,0,0,15
PAK,202112,6,0,0,0,0,6
PAK,202113,1,0,0,0,0,1
PAK,202114,78,1,0,0,1,80
PAK,202115,18,1,1,0,0,20
PAK,202116,1,1,0,0,3,5
PAK,202117,28,3,0,0,4,35
PAK,202118,6,0,0,0,0,6
PAK,202119,3,7,0,0,5,15
PAK,202120,4,7,10,0,1,22
PAK,202121,30,14,6,0,11,61
PAK,202122,84,24,26,0,11,145
PAK,202123,20,6,11,0,10,47
PAK,202124,9,4,2,0,5,20
PAK,202125,22,3,7,0,7,39
PAK,202126,17,2,11,0,2,32
PAK,202127,0,3,12,0,0,15
PAK,202128,1,0,26,0,2,29
PAK,202129,6,2,25,0,1,34
PAK,202130,0,0,22,0,2,24
PAK,202131,1,0,49,0,0,50
PAK,202132,0,0,48,0,0,48
PAK,202133,0,0,41,0,1,42
PAK,202134,2,0,104,0,2,108
PAK,202135,0,0,19,0,0,19
PAK,202136,0,0,34,0,0,34
PAK,202137,0,0,36,0,0,36
PAK,202138,0,0,19,0,0,19
PAK,202139,0,0,10,0,1,11
PAK,202140,0,0,20,0,0,20
PAK,202141,0,0,27,0,0,27
PAK,202142,0,0,20,0,3,23
PAK,202143,0,0,28,0,2,30
PAK,202144,0,0,32,0,1,33
PAK,202145,0,0,9,0,1,10
PAK,202146,0,0,7,0,0,7
PAK,202147,0,0,1,0,2,3
PAK,202148,0,0,11,1,12,24
PAK,202149,0,0,9,3,5,17
PAK,202150,0,0,8,2,3,13
PAK,202151,0,0,5,12,1,18
PAK,202152,0,0,4,36,8,48
PAK,202201,0,0,2,39,14,55
PAK,202202,0,0,0,6,16,22
PAK,202203,0,0,0,8,1,9
PAK,202204,0,0,0,0,7,7
PAK,202205,0,0,0,12,0,12
PAK,202206,0,0,0,12,4,16
PAK,202207,0,0,0,0,27,27
PAK,202208,0,0,0,0,1,1
PAK,202209,0,0,0,0,5,5
