Country,Week,Alpha,Beta,Delta,Omicron,Other_variants,Total
PHL,202005,0,0,0,0,3,3
PHL,202010,0,0,0,0,4,4
PHL,202011,0,0,0,0,16,16
PHL,202012,0,0,0,0,2,2
PHL,202013,0,0,0,0,9,9
PHL,202015,0,0,0,0,3,3
PHL,202016,0,0,0,0,2,2
PHL,202022,0,0,0,0,1,1
PHL,202024,0,0,0,0,1,1
PHL,202025,0,0,0,0,4,4
PHL,202026,0,0,0,0,7,7
PHL,202027,0,0,0,0,9,9
PHL,202028,0,0,0,0,50,50
PHL,202029,0,0,0,0,13,13
PHL,202030,0,0,0,0,20,20
PHL,202031,0,0,0,0,15,15
PHL,202032,0,0,0,0,19,19
PHL,202033,0,0,0,0,11,11
PHL,202034,0,0,0,0,11,11
PHL,202035,0,0,0,0,18,18
PHL,202036,0,0,0,0,4,4
PHL,202037,0,0,0,0,3,3
PHL,202038,0,0,0,0,10,10
PHL,202039,0,0,0,0,9,9
PHL,202040,0,0,0,0,5,5
PHL,202041,0,0,0,0,2,2
PHL,202042,0,0,0,0,12,12
PHL,202043,0,0,0,0,4,4
PHL,202044,0,0,0,0,25,25
PHL,202045,0,0,0,0,106,106
PHL,202046,0,0,0,0,79,79
PHL,202047,0,0,0,0,104,104
PHL,202048,0,0,0,0,79,79
PHL,202049,0,0,0,0,150,150
PHL,202050,0,0,0,0,119,119
PHL,202051,0,0,0,0,185,185
PHL,202052,0,0,0,0,172,172
PHL,202053,0,0,0,0,69,69
PHL,202101,17,0,0,0,310,327
PHL,202102,16,0,0,0,212,228
PHL,202103,14,0,0,0,292,306
PHL,202104,13,0,0,0,310,323
PHL,202105,6,4,0,0,243,253
PHL,202106,23,19,0,0,174,216
PHL,202107,49,33,0,0,164,246
PHL,202108,22,54,0,0,88,164
PHL,202109,55,66,0,0,69,190
PHL,202110,127,171,0,0,81,379
PHL,202111,145,170,0,0,57,372
PHL,202112,181,255,0,0,52,488
PHL,202113,186,253,0,0,47,486
PHL,202114,96,169,2,0,27,294
PHL,202115,55,64,4,0,31,154
PHL,202116,66,58,2,0,28,154
PHL,202117,93,116,2,0,12,223
PHL,202118,95,94,10,0,7,206
PHL,202119,57,74,1,0,10,142
PHL,202120,64,56,0,0,2,122
PHL,202121,85,111,2,0,11,209
PHL,202122,150,147,1,0,23,321
PHL,202123,108,127,0,0,13,248
PHL,202124,94,151,6,0,14,265
PHL,202125,239,236,26,0,35,536
PHL,202126,104,178,76,0,24,382
PHL,202127,115,160,170,0,47,492
PHL,202128,173,167,225,0,50,615
PHL,202129,80,94,289,0,30,493
PHL,202130,110,82,506,0,44,742
PHL,202131,34,42,548,0,29,653
PHL,202132,38,25,502,0,11,576
PHL,202133,16,23,543,0,4,586
PHL,202134,2,1,243,0,4,250
PHL,202135,1,0,94,0,6,101
PHL,202136,0,0,0,0,4,4
PHL,202137,0,0,0,0,2,2
PHL,202138,0,0,0,0,1,1
PHL,202140,0,0,2,0,0,2
PHL,202141,0,0,35,0,0,35
PHL,202144,0,0,13,0,0,13
PHL,202145,0,0,7,0,0,7
PHL,202146,0,0,13,0,0,13
PHL,202147,1,0,0,3,0,4
PHL,202148,0,0,0,3,0,3
PHL,202149,0,0,0,4,0,4
PHL,202150,0,0,1,22,0,23
PHL,202151,0,0,1,122,1,124
PHL,202152,0,0,2,568,6,576
PHL,202201,0,0,0,424,3,427
PHL,202202,0,0,0,13,0,13
PHL,202203,0,0,0,34,5,39
PHL,202204,0,0,0,23,0,23
PHL,202205,0,0,0,57,0,57
PHL,202206,0,0,0,37,1,38
PHL,202207,0,0,0,13,1,14
PHL,202208,0,0,0,19,0,19
PHL,202209,0,0,0,1,1,2
