Country,Week,Alpha,Beta,Delta,Omicron,Other_variants,Total
EST,202050,0,0,0,0,1,1
EST,202051,0,0,0,0,1,1
EST,202052,0,0,0,0,1,1
EST,202053,0,0,0,0,1,1
EST,202101,0,0,0,0,3,3
EST,202102,0,0,0,0,1,1
EST,202103,1,0,0,0,7,8
EST,202104,0,0,0,0,31,31
EST,202105,1,0,0,0,13,14
EST,202106,14,0,0,0,94,108
EST,202107,110,2,0,0,302,414
EST,202108,10,0,0,0,13,23
EST,202109,14,0,0,0,8,22
EST,202110,279,1,0,0,100,380
EST,202111,368,2,0,0,107,477
EST,202112,442,9,0,0,86,537
EST,202113,561,14,0,0,50,625
EST,202114,187,3,0,0,6,196
EST,202115,168,0,0,0,3,171
EST,202116,175,4,0,0,0,179
EST,202117,162,0,0,0,2,164
EST,202118,158,0,0,0,5,163
EST,202119,165,0,0,0,2,167
EST,202122,79,0,0,0,0,79
EST,202123,46,0,2,0,0,48
EST,202124,49,0,0,0,0,49
EST,202126,4,0,45,0,0,49
EST,202127,11,0,82,0,0,93
EST,202128,2,0,65,0,0,67
EST,202129,5,0,169,0,1,175
EST,202130,2,0,179,0,0,181
EST,202131,0,0,178,0,0,178
EST,202132,0,0,183,0,0,183
EST,202133,0,0,186,0,0,186
EST,202134,0,0,180,0,0,180
EST,202135,0,0,183,0,0,183
EST,202136,0,0,172,0,0,172
EST,202137,0,0,171,0,0,171
EST,202138,0,0,176,0,0,176
EST,202139,0,0,167,0,0,167
EST,202140,0,0,173,0,0,173
EST,202141,0,0,164,0,0,164
EST,202142,0,0,165,0,0,165
EST,202143,0,0,165,0,0,165
EST,202144,0,0,168,0,0,168
EST,202145,0,0,132,0,0,132
EST,202146,0,0,175,0,0,175
EST,202147,0,0,168,0,0,168
EST,202148,0,0,176,0,0,176
EST,202149,0,0,174,0,0,174
EST,202150,0,0,169,4,0,173
EST,202151,0,0,122,53,1,176
EST,202152,0,0,74,22,0,96
