Country,Week,Alpha,Beta,Delta,Omicron BA.1,Omicron BA.2,Other_variants,Total
HND,202101,0,0,0,0,0,1,1
HND,202102,0,0,0,0,0,2,2
HND,202103,0,0,0,0,0,1,1
HND,202104,0,0,0,0,0,7,7
HND,202106,0,0,0,0,0,2,2
HND,202107,0,0,0,0,0,16,16
HND,202113,0,0,0,0,0,1,1
HND,202115,0,0,0,0,0,4,4
HND,202116,1,0,0,0,0,20,21
HND,202117,0,0,0,0,0,10,10
HND,202118,0,0,0,0,0,1,1
HND,202120,0,0,0,0,0,6,6
HND,202121,0,0,0,0,0,6,6
HND,202123,0,0,0,0,0,26,26
HND,202124,0,0,0,0,0,8,8
HND,202128,0,0,0,0,0,2,2
HND,202130,0,0,3,0,0,0,3
HND,202134,0,0,0,0,0,1,1
HND,202135,0,0,2,1,0,1,4
HND,202136,0,0,6,0,0,0,6
HND,202137,0,0,16,0,0,0,16
HND,202138,0,0,2,0,0,0,2
HND,202139,0,0,2,0,0,0,2
HND,202140,0,0,6,0,0,0,6
HND,202141,0,0,5,0,0,0,5
HND,202142,0,0,2,0,0,0,2
HND,202143,0,0,9,0,0,0,9
HND,202144,0,0,1,0,0,0,1
HND,202145,0,0,4,0,0,0,4
HND,202146,0,0,7,0,0,0,7
HND,202147,0,0,1,0,0,0,1
HND,202148,0,0,1,0,0,0,1
HND,202150,0,0,1,1,0,0,2
HND,202151,0,0,0,5,0,4,9
HND,202152,0,0,0,5,0,12,17
HND,202201,0,0,0,8,0,11,19
