Country,Week,Alpha,Beta,Delta,Omicron,Other_variants,Total
TUR,202012,0,0,0,0,33,33
TUR,202013,0,0,0,0,29,29
TUR,202014,0,0,0,0,1,1
TUR,202015,0,0,0,0,4,4
TUR,202016,0,0,0,0,15,15
TUR,202017,0,0,0,0,18,18
TUR,202018,0,0,0,0,37,37
TUR,202019,0,0,0,0,47,47
TUR,202020,0,0,0,0,28,28
TUR,202021,0,0,0,0,44,44
TUR,202022,0,0,0,0,14,14
TUR,202023,0,0,0,0,12,12
TUR,202025,0,0,0,0,5,5
TUR,202026,0,0,0,0,16,16
TUR,202031,0,0,0,0,7,7
TUR,202032,0,0,0,0,1,1
TUR,202035,0,0,0,0,7,7
TUR,202048,0,0,0,0,1,1
TUR,202050,0,0,0,0,5,5
TUR,202051,0,0,0,0,1,1
TUR,202052,3,0,0,0,8,11
TUR,202053,11,0,0,0,10,21
TUR,202101,6,0,0,0,3,9
TUR,202102,1,0,0,0,6,7
TUR,202103,0,1,0,0,1,2
TUR,202104,0,1,0,0,2,3
TUR,202105,0,1,0,0,5,6
TUR,202106,0,1,0,0,8,9
TUR,202107,0,1,0,0,8,9
TUR,202108,1,3,0,0,5,9
TUR,202109,0,1,0,0,7,8
TUR,202110,2,0,0,0,3,5
TUR,202111,0,0,0,0,1,1
TUR,202112,5,0,0,0,0,5
TUR,202113,5,1,0,0,2,8
TUR,202114,5,7,0,0,6,18
TUR,202115,4,0,0,0,0,4
TUR,202116,2,0,0,0,0,2
TUR,202118,0,1,0,0,1,2
TUR,202128,0,0,1,0,0,1
TUR,202148,0,0,2,0,0,2
TUR,202149,0,0,1,0,0,1
